setting,year ,subregion ,estimate
Pakistan,2017,Balochistan,4.2
Pakistan,2017,FataÂ ,3.1
Pakistan,2017,Islamabad (ict),31.9
Pakistan,2017,Khyber Pakhtunkhwa,8.0
Pakistan,2017,Sindh,25.8
Pakistan,2017,Punjab,31.8
Bangladesh,2017,Barishal,24.5
Bangladesh,2017,Chattogram,26.0
Bangladesh,2017,Dhaka,42.7
Bangladesh,2017,Khulna,42.7
Bangladesh,2017,Mymensingh,26.1
Bangladesh,2017,Rajshahi,35.6
Bangladesh,2017,Rangpur,27.8
Bangladesh,2017,Sylhet,22.6
Bhutan,2010,Bumthang,12.6
Bhutan,2010,Chukha,18.7
Bhutan,2010,Dagana,10.9
Bhutan,2010,Gasa,6.0
Bhutan,2010,Haa,22.1
Bhutan,2010,Ihuntse,12.4
Bhutan,2010,Mongar,8.1
Bhutan,2010,Paro,15.2
Bhutan,2010,Pemagatshel,5.7
Bhutan,2010,Punakha,10.7
Bhutan,2010,Samdrup Jongkhar,15.4
Bhutan,2010,Samtse,11.4
Bhutan,2010,Sarpang,13.2
Bhutan,2010,Thimphu,16.0
Bhutan,2010,Transhigang,10.1
Bhutan,2010,Trashiyangtse,14.5
Bhutan,2010,Trongsa,7.5
Bhutan,2010,Tsirang,5.8
Bhutan,2010,Wangdi,12.0
Bhutan,2010,Zhemgang,3.7
India,2015,Andaman & Nicobar Islands,20.2
India,2015,Andhra Pradesh,41.4
India,2015,Arunachal Pradesh,10.8
India,2015,Assam,15.3
India,2015,Bihar,7.1
India,2015,Chandigarh,24.9
India,2015,Chhattisgarh,10.6
India,2015,Dadra & Nagar Haveli,19.0
India,2015,Daman & Diu,16.6
India,2015,Delhi,30.4
India,2015,Goa,35.0
India,2015,Gujarat,20.3
India,2015,Haryana,12.9
India,2015,Himachal Pradesh,18.6
India,2015,Jammu & Kashmir,34.7
India,2015,Jharkhand,11.0
India,2015,Karnataka,25.2
India,2015,Kerala,37.1
India,2015,Lakshadweep,42.6
India,2015,Madhya Pradesh,9.4
India,2015,Maharashtra,21.8
India,2015,Manipur,22.7
India,2015,Meghalaya,7.7
India,2015,Mizoram,15.5
India,2015,Nagaland,7.0
India,2015,Odisha,16.2
India,2015,Puducherry,36.4
India,2015,Punjab,26.3
India,2015,Rajasthan,9.4
India,2015,Sikkim,25.9
India,2015,Tamil Nadu,37.0
India,2015,Telangana,58.7
India,2015,Tripura,22.0
India,2015,Uttar Pradesh,10.3
India,2015,Uttarakhand,14.5
India,2015,West Bengal,26.0
Nepal,2016,Gandaki,17.3
Nepal,2016,Karnali,2.3
Nepal,2016,Lumbini,5.9
Nepal,2016,Province 1,15.1
Nepal,2016,Province 2,4.9
Nepal,2016,Province 3,18.0
Nepal,2016,"Sudoorpaschim
",3.9